tabela,campo,descricao,tipo,notas,tratamento
fato_compras,QUANTIDADE_COMPRA,Quantidade comprada na unidade de compra do fornecedor,Float,Sempre > 0,Intacto
fato_compras,UNIDADE_COMPRA,Unidade da compra (pode diferir da unidade de venda),String,Ver CONVERSAO_COMPRA_ARMAZENAGEM em dim_produto,Intacto
fato_compras,PRECO_UNIT_UNIDADE_COMPRA,Preço unitário pago ao fornecedor (R$),Float,"9,5% nulos — excluídos do CMV",Nulos mantidos; excluídos de cálculos financeiros
fato_compras,VALOR_TOTAL_COMPRA,🆕 Campo derivado: QUANTIDADE_COMPRA × PRECO_UNIT (quando disponível),Float,R$,Criado no tratamento
fato_compras,FLAG_SEM_PRECO,🆕 Flag: 1 se preço ausente nessa entrada,Integer,0 ou 1,Criado no tratamento
dim_produto,CODIGO,Código único do produto,Integer,PK da dimensão,Intacto
dim_produto,DIGITO,Dígito verificador (0–9). Com CODIGO forma identificador completo,Integer,Distribuição uniforme 0–9,Intacto
dim_produto,DESCRICAO,Nome comercial do produto,String,2.731 descrições,Intacto
dim_produto,NIVEL_1 / NIVEL_2 / NIVEL_3,"Hierarquia de categorias: N1=23 cats (A–X), N2=sub, N3=família",String,N1 sem nulos; usar para análise macro,Intacto
dim_produto,UNIDADE_ESTOQUE,Unidade base de armazenagem (referência para cálculo de estoque),String,"Ex: UN, M2, KG",Intacto
dim_produto,EMBALAGEM_FORNECEDOR,Formato de embalagem do fornecedor. Ex: CX-12-UN = caixa c/ 12 unidades,String,59 nulos; 440 produtos em caixa de 1,Nulos mantidos
dim_produto,CONVERSAO_COMPRA_ARMAZENAGEM,Fator para converter unidade de compra em unidade de estoque,Float,Ex: 12 se compra caixa de 12,Convertido de string com vírgula para float
dim_produto,CD_VOLTAGEM,"Código de voltagem do produto: 0=N/A, 1=110V, 2=220V, 3=bivolt, 4–6=outros",Float,48 nulos; 2078 produtos sem voltagem (N/A),Intacto
dim_produto,EMBALAGEM_VENDA_0/1/2,Descrição das embalagens de venda disponíveis para o produto,String,Emb0=padrão; emb1 e emb2 = alternativas,Intacto
dim_lojas,COD_EMPRESA,Código da loja (PK),Integer,"1–9, 92, 93",Intacto
dim_lojas,CD_CIDADE,Cidade da loja,String,"Recife, Salvador, João Pessoa, Natal, Aracaju, etc.",Intacto
dim_lojas,CD_ESTADO,UF da loja,String,"PE, BA, PB, RN, SE",Intacto
output_etapa2.cobertura_estoque,COD_EMPRESA,Código da loja.,Integer,Arquivo: outputs\etapa2\cobertura_estoque.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa2.cobertura_estoque,CODIGO,Código do produto.,Integer,Arquivo: outputs\etapa2\cobertura_estoque.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa2.cobertura_estoque,ESTOQUE_PROJ,Estoque projetado no snapshot final de dez/2025.,Float,Arquivo: outputs\etapa2\cobertura_estoque.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa2.cobertura_estoque,VENDA_MEDIA_MES,Venda média mensal em unidade de armazenagem usada para cobertura.,Float,Arquivo: outputs\etapa2\cobertura_estoque.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa2.cobertura_estoque,DIAS_COBERTURA,Dias estimados de cobertura de estoque.,Float,Arquivo: outputs\etapa2\cobertura_estoque.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa2.cobertura_estoque,STATUS_ESTOQUE,"Classificação de cobertura: ruptura, crítico, atenção, saudável ou sem venda.",String,Arquivo: outputs\etapa2\cobertura_estoque.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa2.cobertura_estoque,RECEITA_TOTAL,Receita histórica total do par loja×produto.,Float,Arquivo: outputs\etapa2\cobertura_estoque.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa2.cobertura_estoque,DESCRICAO,Descrição comercial do produto.,String,Arquivo: outputs\etapa2\cobertura_estoque.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa2.cobertura_estoque,NIVEL_1,Categoria de produto nível 1.,String,Arquivo: outputs\etapa2\cobertura_estoque.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa2.cobertura_estoque,CD_CIDADE,Cidade da loja.,String,Arquivo: outputs\etapa2\cobertura_estoque.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa2.cobertura_estoque,CD_ESTADO,Estado da loja.,String,Arquivo: outputs\etapa2\cobertura_estoque.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa2.investigacao_outliers_preco,COD_EMPRESA,Código da loja.,Integer,Arquivo: outputs\etapa2\investigacao_outliers_preco.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa2.investigacao_outliers_preco,CODIGO,Código do produto.,Integer,Arquivo: outputs\etapa2\investigacao_outliers_preco.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa2.investigacao_outliers_preco,DESCRICAO,Descrição comercial do produto.,String,Arquivo: outputs\etapa2\investigacao_outliers_preco.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa2.investigacao_outliers_preco,PRECO_MIN,Campo do artefato analítico; ver notebook/script da etapa correspondente.,Float,Arquivo: outputs\etapa2\investigacao_outliers_preco.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa2.investigacao_outliers_preco,PRECO_MAX,Campo do artefato analítico; ver notebook/script da etapa correspondente.,Float,Arquivo: outputs\etapa2\investigacao_outliers_preco.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa2.investigacao_outliers_preco,CV,Campo do artefato analítico; ver notebook/script da etapa correspondente.,Float,Arquivo: outputs\etapa2\investigacao_outliers_preco.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa2.investigacao_outliers_preco,HIPOTESE,Campo do artefato analítico; ver notebook/script da etapa correspondente.,String,Arquivo: outputs\etapa2\investigacao_outliers_preco.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa2.investigacao_outliers_preco,EMBALAGEM_SUSPEITA,Campo do artefato analítico; ver notebook/script da etapa correspondente.,String,Arquivo: outputs\etapa2\investigacao_outliers_preco.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_receita,UNIVERSO,Universo analítico: rede completa ou rede física sem Loja 93.,String,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_receita,CODIGO,Código do produto.,Integer,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_receita,DESCRICAO,Descrição comercial do produto.,String,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_receita,NIVEL_1,Categoria de produto nível 1.,String,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_receita,NIVEL_2,Categoria de produto nível 2.,String,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_receita,NIVEL_3,Categoria de produto nível 3.,String,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_receita,RECEITA,Receita bruta calculada a partir de quantidade vendida e preço unitário médio.,Float,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Derivado na Etapa 1 e reaproveitado nas agregações.
output_etapa3.ranking_produtos_receita,QTD_ARMAZENAGEM,Quantidade vendida normalizada para unidade de armazenagem.,Float,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Derivado na Etapa 1 e reaproveitado nas agregações.
output_etapa3.ranking_produtos_receita,QUANTIDADE_VENDIDA,Quantidade vendida na unidade comercial original.,Float,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_receita,TRANSACOES,"Contagem de linhas de venda; proxy, não cupom único.",Integer,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Derivado como contagem de linhas de venda; proxy por ausência de id de cupom/pedido/nota.
output_etapa3.ranking_produtos_receita,LOJAS_ATIVAS,Quantidade de lojas distintas no agrupamento.,Integer,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_receita,PRECO_MEDIO_ARMAZENAGEM,Receita dividida por quantidade em unidade de armazenagem.,Float,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_receita,TICKET_MEDIO_TRANSACAO,Receita média por linha de venda; proxy devido à ausência de id de cupom/pedido/nota.,Float,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_receita,PARTICIPACAO_RECEITA_PCT,Participação percentual da receita dentro do universo analisado.,Float,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Calculado por agregação na etapa analítica.
output_etapa3.ranking_produtos_receita,PARTICIPACAO_QTD_PCT,Participação percentual da quantidade dentro do universo analisado.,Float,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Calculado por agregação na etapa analítica.
output_etapa3.ranking_produtos_receita,RANK_RECEITA,Ranking decrescente por receita.,Integer,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Calculado a partir da ordenação do ranking.
output_etapa3.ranking_produtos_receita,RANK_RECEITA_MENOR,"Ranking crescente por receita, usado para identificar cauda de menor venda.",Integer,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Calculado a partir da ordenação do ranking.
output_etapa3.ranking_produtos_receita,RECEITA_ACUM,Receita acumulada no ranking.,Float,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Calculado a partir da ordenação do ranking.
output_etapa3.ranking_produtos_receita,RECEITA_ACUM_PCT,Percentual acumulado da receita no ranking.,Float,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Calculado a partir da ordenação do ranking.
output_etapa3.ranking_produtos_receita,CURVA_ABC_RECEITA,"Classe ABC por receita acumulada: A até 80%, B até 95%, C restante.",String,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_receita,RANK_QUANTIDADE,Ranking decrescente por quantidade em unidade de armazenagem.,Integer,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Calculado a partir da ordenação do ranking.
output_etapa3.ranking_produtos_receita,RANK_QUANTIDADE_MENOR,"Ranking crescente por quantidade, usado para identificar cauda de menor venda.",Integer,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Calculado a partir da ordenação do ranking.
output_etapa3.ranking_produtos_receita,QTD_ACUM_ARMAZENAGEM,Quantidade acumulada no ranking por volume.,Float,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_receita,QTD_ACUM_PCT,Percentual acumulado da quantidade no ranking por volume.,Float,Arquivo: outputs\etapa3\ranking_produtos_receita.csv,Calculado a partir da ordenação do ranking.
output_etapa3.ranking_produtos_quantidade,UNIVERSO,Universo analítico: rede completa ou rede física sem Loja 93.,String,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_quantidade,CODIGO,Código do produto.,Integer,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_quantidade,DESCRICAO,Descrição comercial do produto.,String,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_quantidade,NIVEL_1,Categoria de produto nível 1.,String,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_quantidade,NIVEL_2,Categoria de produto nível 2.,String,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_quantidade,NIVEL_3,Categoria de produto nível 3.,String,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_quantidade,RECEITA,Receita bruta calculada a partir de quantidade vendida e preço unitário médio.,Float,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Derivado na Etapa 1 e reaproveitado nas agregações.
output_etapa3.ranking_produtos_quantidade,QTD_ARMAZENAGEM,Quantidade vendida normalizada para unidade de armazenagem.,Float,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Derivado na Etapa 1 e reaproveitado nas agregações.
output_etapa3.ranking_produtos_quantidade,QUANTIDADE_VENDIDA,Quantidade vendida na unidade comercial original.,Float,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_quantidade,TRANSACOES,"Contagem de linhas de venda; proxy, não cupom único.",Integer,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Derivado como contagem de linhas de venda; proxy por ausência de id de cupom/pedido/nota.
output_etapa3.ranking_produtos_quantidade,LOJAS_ATIVAS,Quantidade de lojas distintas no agrupamento.,Integer,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_quantidade,PRECO_MEDIO_ARMAZENAGEM,Receita dividida por quantidade em unidade de armazenagem.,Float,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_quantidade,TICKET_MEDIO_TRANSACAO,Receita média por linha de venda; proxy devido à ausência de id de cupom/pedido/nota.,Float,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_quantidade,PARTICIPACAO_RECEITA_PCT,Participação percentual da receita dentro do universo analisado.,Float,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Calculado por agregação na etapa analítica.
output_etapa3.ranking_produtos_quantidade,PARTICIPACAO_QTD_PCT,Participação percentual da quantidade dentro do universo analisado.,Float,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Calculado por agregação na etapa analítica.
output_etapa3.ranking_produtos_quantidade,RANK_RECEITA,Ranking decrescente por receita.,Integer,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Calculado a partir da ordenação do ranking.
output_etapa3.ranking_produtos_quantidade,RANK_RECEITA_MENOR,"Ranking crescente por receita, usado para identificar cauda de menor venda.",Integer,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Calculado a partir da ordenação do ranking.
output_etapa3.ranking_produtos_quantidade,RECEITA_ACUM,Receita acumulada no ranking.,Float,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Calculado a partir da ordenação do ranking.
output_etapa3.ranking_produtos_quantidade,RECEITA_ACUM_PCT,Percentual acumulado da receita no ranking.,Float,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Calculado a partir da ordenação do ranking.
output_etapa3.ranking_produtos_quantidade,CURVA_ABC_RECEITA,"Classe ABC por receita acumulada: A até 80%, B até 95%, C restante.",String,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_quantidade,RANK_QUANTIDADE,Ranking decrescente por quantidade em unidade de armazenagem.,Integer,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Calculado a partir da ordenação do ranking.
output_etapa3.ranking_produtos_quantidade,RANK_QUANTIDADE_MENOR,"Ranking crescente por quantidade, usado para identificar cauda de menor venda.",Integer,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Calculado a partir da ordenação do ranking.
output_etapa3.ranking_produtos_quantidade,QTD_ACUM_ARMAZENAGEM,Quantidade acumulada no ranking por volume.,Float,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.ranking_produtos_quantidade,QTD_ACUM_PCT,Percentual acumulado da quantidade no ranking por volume.,Float,Arquivo: outputs\etapa3\ranking_produtos_quantidade.csv,Calculado a partir da ordenação do ranking.
output_etapa3.curva_abc_produtos,UNIVERSO,Universo analítico: rede completa ou rede física sem Loja 93.,String,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.curva_abc_produtos,CODIGO,Código do produto.,Integer,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.curva_abc_produtos,DESCRICAO,Descrição comercial do produto.,String,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.curva_abc_produtos,NIVEL_1,Categoria de produto nível 1.,String,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.curva_abc_produtos,NIVEL_2,Categoria de produto nível 2.,String,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.curva_abc_produtos,NIVEL_3,Categoria de produto nível 3.,String,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.curva_abc_produtos,RECEITA,Receita bruta calculada a partir de quantidade vendida e preço unitário médio.,Float,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Derivado na Etapa 1 e reaproveitado nas agregações.
output_etapa3.curva_abc_produtos,QTD_ARMAZENAGEM,Quantidade vendida normalizada para unidade de armazenagem.,Float,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Derivado na Etapa 1 e reaproveitado nas agregações.
output_etapa3.curva_abc_produtos,QUANTIDADE_VENDIDA,Quantidade vendida na unidade comercial original.,Float,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.curva_abc_produtos,TRANSACOES,"Contagem de linhas de venda; proxy, não cupom único.",Integer,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Derivado como contagem de linhas de venda; proxy por ausência de id de cupom/pedido/nota.
output_etapa3.curva_abc_produtos,LOJAS_ATIVAS,Quantidade de lojas distintas no agrupamento.,Integer,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.curva_abc_produtos,PRECO_MEDIO_ARMAZENAGEM,Receita dividida por quantidade em unidade de armazenagem.,Float,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.curva_abc_produtos,TICKET_MEDIO_TRANSACAO,Receita média por linha de venda; proxy devido à ausência de id de cupom/pedido/nota.,Float,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.curva_abc_produtos,PARTICIPACAO_RECEITA_PCT,Participação percentual da receita dentro do universo analisado.,Float,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Calculado por agregação na etapa analítica.
output_etapa3.curva_abc_produtos,PARTICIPACAO_QTD_PCT,Participação percentual da quantidade dentro do universo analisado.,Float,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Calculado por agregação na etapa analítica.
output_etapa3.curva_abc_produtos,RANK_RECEITA,Ranking decrescente por receita.,Integer,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Calculado a partir da ordenação do ranking.
output_etapa3.curva_abc_produtos,RANK_RECEITA_MENOR,"Ranking crescente por receita, usado para identificar cauda de menor venda.",Integer,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Calculado a partir da ordenação do ranking.
output_etapa3.curva_abc_produtos,RECEITA_ACUM,Receita acumulada no ranking.,Float,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Calculado a partir da ordenação do ranking.
output_etapa3.curva_abc_produtos,RECEITA_ACUM_PCT,Percentual acumulado da receita no ranking.,Float,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Calculado a partir da ordenação do ranking.
output_etapa3.curva_abc_produtos,CURVA_ABC_RECEITA,"Classe ABC por receita acumulada: A até 80%, B até 95%, C restante.",String,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.curva_abc_produtos,RANK_QUANTIDADE,Ranking decrescente por quantidade em unidade de armazenagem.,Integer,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Calculado a partir da ordenação do ranking.
output_etapa3.curva_abc_produtos,RANK_QUANTIDADE_MENOR,"Ranking crescente por quantidade, usado para identificar cauda de menor venda.",Integer,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Calculado a partir da ordenação do ranking.
output_etapa3.curva_abc_produtos,QTD_ACUM_ARMAZENAGEM,Quantidade acumulada no ranking por volume.,Float,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.curva_abc_produtos,QTD_ACUM_PCT,Percentual acumulado da quantidade no ranking por volume.,Float,Arquivo: outputs\etapa3\curva_abc_produtos.csv,Calculado a partir da ordenação do ranking.
output_etapa3.desempenho_categorias_n1,NIVEL_1,Categoria de produto nível 1.,String,Arquivo: outputs\etapa3\desempenho_categorias_n1.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.desempenho_categorias_n1,RECEITA,Receita bruta calculada a partir de quantidade vendida e preço unitário médio.,Float,Arquivo: outputs\etapa3\desempenho_categorias_n1.csv,Derivado na Etapa 1 e reaproveitado nas agregações.
output_etapa3.desempenho_categorias_n1,QTD_ARMAZENAGEM,Quantidade vendida normalizada para unidade de armazenagem.,Float,Arquivo: outputs\etapa3\desempenho_categorias_n1.csv,Derivado na Etapa 1 e reaproveitado nas agregações.
output_etapa3.desempenho_categorias_n1,TRANSACOES,"Contagem de linhas de venda; proxy, não cupom único.",Integer,Arquivo: outputs\etapa3\desempenho_categorias_n1.csv,Derivado como contagem de linhas de venda; proxy por ausência de id de cupom/pedido/nota.
output_etapa3.desempenho_categorias_n1,SKUS_ATIVOS,Quantidade de SKUs distintos com venda no agrupamento.,Integer,Arquivo: outputs\etapa3\desempenho_categorias_n1.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.desempenho_categorias_n1,UNIVERSO,Universo analítico: rede completa ou rede física sem Loja 93.,String,Arquivo: outputs\etapa3\desempenho_categorias_n1.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.desempenho_categorias_n1,PRECO_MEDIO_ARMAZENAGEM,Receita dividida por quantidade em unidade de armazenagem.,Float,Arquivo: outputs\etapa3\desempenho_categorias_n1.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.desempenho_categorias_n1,TICKET_MEDIO_TRANSACAO,Receita média por linha de venda; proxy devido à ausência de id de cupom/pedido/nota.,Float,Arquivo: outputs\etapa3\desempenho_categorias_n1.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.desempenho_categorias_n1,PARTICIPACAO_RECEITA_PCT,Participação percentual da receita dentro do universo analisado.,Float,Arquivo: outputs\etapa3\desempenho_categorias_n1.csv,Calculado por agregação na etapa analítica.
output_etapa3.desempenho_categorias_n1,PARTICIPACAO_QTD_PCT,Participação percentual da quantidade dentro do universo analisado.,Float,Arquivo: outputs\etapa3\desempenho_categorias_n1.csv,Calculado por agregação na etapa analítica.
output_etapa3.desempenho_categorias_n1,QTD_ARMAZENAGEM_2024,Quantidade em unidade de armazenagem agregada em 2024.,Float,Arquivo: outputs\etapa3\desempenho_categorias_n1.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.desempenho_categorias_n1,QTD_ARMAZENAGEM_2025,Quantidade em unidade de armazenagem agregada em 2025.,Float,Arquivo: outputs\etapa3\desempenho_categorias_n1.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.desempenho_categorias_n1,RECEITA_2024,Receita agregada em 2024.,Float,Arquivo: outputs\etapa3\desempenho_categorias_n1.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.desempenho_categorias_n1,RECEITA_2025,Receita agregada em 2025.,Float,Arquivo: outputs\etapa3\desempenho_categorias_n1.csv,Gerado ou preservado pelo pipeline analítico.
output_etapa3.desempenho_categorias_n1,TRANSACOES_2024,Linhas de venda agregadas em 2024.,Integer,Arquivo: outputs\etapa3\desempenho_categorias_n1.csv,Derivado como contagem de linhas de venda; proxy por ausência de id de cupom/pedido/nota.
output_etapa3.desempenho_categorias_n1,TRANSACOES_2025,Linhas de venda agregadas em 2025.,Integer,Arquivo: outputs\etapa3\desempenho_categorias_n1.csv,Derivado como contagem de linhas de venda; proxy por ausência de id de cupom/pedido/nota.
output_etapa3.desempenho_categorias_n1,DELTA_RECEITA_2025_VS_2024,Diferença absoluta de receita entre 2025 e 2024.,Float,Arquivo: outputs\etapa3\desempenho_categorias_n1.csv,Calculado por agregação na etapa analítica.
output_etapa3.desempenho_categorias_n1,VAR_RECEITA_2025_VS_2024_PCT,Variação percentual de receita entre 2025 e 2024.,Float,Arquivo: outputs\etapa3\desempenho_categorias_n1.csv,Calculado por agregação na etapa analítica.
output_etapa3.desempenho_categorias_n1,DELTA_QTD_ARMAZENAGEM_2025_VS_2024,Diferença absoluta de quantidade entre 2025 e 2024.,Float,Arquivo: outputs\etapa3\desempenho_categorias_n1.csv,Calculado por agregação na etapa analítica.
